ensg_id	gene_symbol	pmtl	version
ENSG00000223972	DDX11L1	NA	NA
ENSG00000227232	WASH7P	NA	NA
ENSG00000278267	MIR6859-1	NA	NA
ENSG00000243485	MIR1302-2HG	NA	NA
ENSG00000284332	MIR1302-2	NA	NA
ENSG00000237613	FAM138A	NA	NA
ENSG00000268020	OR4G4P	NA	NA
ENSG00000240361	OR4G11P	NA	NA
ENSG00000186092	OR4F5	NA	NA
ENSG00000238009	ENSG00000238009	NA	NA
ENSG00000239945	ENSG00000239945	NA	NA
ENSG00000233750	CICP27	NA	NA
ENSG00000268903	ENSG00000268903	NA	NA
ENSG00000269981	ENSG00000269981	NA	NA
ENSG00000239906	ENSG00000239906	NA	NA
ENSG00000241860	ENSG00000241860	NA	NA
ENSG00000222623	RNU6-1100P	NA	NA
ENSG00000241599	ENSG00000241599	NA	NA
ENSG00000279928	DDX11L17	NA	NA
ENSG00000279457	WASH9P	NA	NA
ENSG00000273874	MIR6859-2	NA	NA
ENSG00000228463	ENSG00000228463	NA	NA
ENSG00000286448	ENSG00000286448	NA	NA
ENSG00000236679	RPL23AP24	NA	NA
ENSG00000236601	ENSG00000236601	NA	NA
ENSG00000237094	ENSG00000237094	NA	NA
ENSG00000269732	WBP1LP7	NA	NA
ENSG00000284733	OR4F29	NA	NA
ENSG00000233653	CICP7	NA	NA
ENSG00000250575	ENSG00000250575	NA	NA
ENSG00000278757	U6	NA	NA
ENSG00000230021	ENSG00000230021	NA	NA
ENSG00000235146	ENSG00000235146	NA	NA
ENSG00000225972	MTND1P23	NA	NA
ENSG00000225630	MTND2P28	NA	NA
ENSG00000237973	MTCO1P12	NA	NA
ENSG00000278791	ENSG00000278791	NA	NA
ENSG00000229344	MTCO2P12	NA	NA
ENSG00000240409	MTATP8P1	NA	NA
ENSG00000248527	MTATP6P1	NA	NA
ENSG00000198744	MTCO3P12	NA	NA
ENSG00000268663	WBP1LP6	NA	NA
ENSG00000284662	OR4F16	NA	NA
ENSG00000229376	CICP3	NA	NA
ENSG00000228327	ENSG00000228327	NA	NA
ENSG00000223181	RNU6-1199P	NA	NA
ENSG00000229905	ENSG00000229905	NA	NA
ENSG00000237491	LINC01409	NA	NA
ENSG00000285268	ENSG00000285268	NA	NA
ENSG00000230092	ENSG00000230092	NA	NA
ENSG00000177757	FAM87B	NA	NA
ENSG00000228794	LINC01128	NA	NA
ENSG00000225880	LINC00115	NA	NA
ENSG00000288531	ENSG00000288531	NA	NA
ENSG00000230368	FAM41C	NA	NA
ENSG00000234711	TUBB8P11	NA	NA
ENSG00000283040	ENSG00000283040	NA	NA
ENSG00000272438	ENSG00000272438	NA	NA
ENSG00000230699	ENSG00000230699	NA	NA
ENSG00000241180	ENSG00000241180	NA	NA
ENSG00000223764	LINC02593	NA	NA
ENSG00000187634	SAMD11	NA	NA
ENSG00000188976	NOC2L	NA	NA
ENSG00000187961	KLHL17	NA	NA
ENSG00000187583	PLEKHN1	NA	NA
ENSG00000187642	PERM1	NA	NA
ENSG00000272512	ENSG00000272512	NA	NA
ENSG00000188290	HES4	NA	NA
ENSG00000187608	ISG15	NA	NA
ENSG00000231702	ENSG00000231702	NA	NA
ENSG00000224969	ENSG00000224969	NA	NA
ENSG00000188157	AGRN	NA	NA
ENSG00000242590	ENSG00000242590	NA	NA
ENSG00000217801	ENSG00000217801	NA	NA
ENSG00000273443	ENSG00000273443	NA	NA
ENSG00000237330	RNF223	NA	NA
ENSG00000131591	C1orf159	NA	NA
ENSG00000285812	ENSG00000285812	NA	NA
ENSG00000223823	LINC01342	NA	NA
ENSG00000207730	MIR200B	NA	NA
ENSG00000207607	MIR200A	NA	NA
ENSG00000198976	MIR429	NA	NA
